[08Apr2025 00:20:56.704] [Server thread/INFO] [net.minecraft.world.entity.npc.Villager/]: Villager Villager['Librarian'/15599, l='ServerLevel[world]', x=1275.50, y=69.00, z=-1199.50] died, message: 'Librarian went up in flames'
[08Apr2025 00:27:20.096] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [DavidCh01: Set own game mode to Creative Mode]
[08Apr2025 00:27:30.296] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [DavidCh01: Set own game mode to Survival Mode]
[08Apr2025 00:27:48.669] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [DavidCh01: Set own game mode to Creative Mode]
[08Apr2025 00:27:56.564] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [DavidCh01: Set own game mode to Survival Mode]
[08Apr2025 00:28:30.498] [Server thread/INFO] [net.minecraft.world.entity.npc.Villager/]: Villager Villager['Librarian'/16597, l='ServerLevel[world]', x=1275.50, y=69.00, z=-1199.50] died, message: 'Librarian went up in flames'
[08Apr2025 00:30:11.854] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [DavidCh01: Set own game mode to Spectator Mode]
[08Apr2025 00:30:23.818] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [DavidCh01: Set own game mode to Survival Mode]
[08Apr2025 00:30:50.748] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: DavidCh01 has made the advancement [Combat 3]
[08Apr2025 00:31:33.293] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: DavidCh01 was slain by Minotaurus
[08Apr2025 00:31:39.281] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:39.297] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:39.312] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:39.326] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:39.345] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:39.361] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:39.376] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:39.390] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:39.410] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:39.442] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:39.471] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:39.489] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:39.507] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:39.712] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:39.817] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:40.156] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:40.276] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:40.361] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:40.428] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:40.494] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:40.559] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
[08Apr2025 00:31:40.627] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: EntityDragonPart['Dragon Part'/17480, l='ServerLevel[world]', x=1166.79, y=-0.19, z=-1118.90]
